Contest ID	Contest Name	1029317 Position	1029317 ContestScore	1029317 WinnerScore	449427 Position	449427 ContestScore	449427 WinnerScore
1	Like A Yoyo	1	0	25	1	0	25
2	Max Speed	1	0	25	1	0	25
